,TractFIPS,TotalPopulation,PercentMale,PercentElderly,PercentWhite,City
350,06037181500.0,3.956,50.2,16.6,56.3,Los Angeles
351,06037181600.0,4.631,45.9,9.2,46.0,Los Angeles
352,06037183101.0,3.323,49.4,17.5,57.8,Los Angeles
353,06037183103.0,4.355,48.2,9.2,43.7,Los Angeles
354,06037183104.0,2.146,50.6,19.4,54.9,Los Angeles
355,06037183220.0,4.155,50.2,14.8,43.6,Los Angeles
356,06037183221.0,3.522,48.7,12.0,41.9,Los Angeles
357,06037183222.0,3.493,48.2,20.6,51.8,Los Angeles
358,06037183300.0,3.487,46.8,13.5,44.3,Los Angeles
359,06037183401.0,2.531,52.7,14.2,41.0,Los Angeles
360,06037183402.0,3.006,49.0,12.0,36.6,Los Angeles
361,06037183510.0,2.577,48.9,13.5,54.6,Los Angeles
362,06037183520.0,3.758,47.9,7.8,41.0,Los Angeles
363,06037183610.0,3.215,50.2,10.0,50.3,Los Angeles
364,06037183620.0,3.111,48.3,12.5,53.5,Los Angeles
365,06037183701.0,3.72,46.2,11.5,59.2,Los Angeles
366,06037183702.0,2.775,53.4,10.3,56.1,Los Angeles
367,06037183810.0,4.163,50.2,6.2,42.9,Los Angeles
368,06037183820.0,3.445,51.3,2.8,33.7,Los Angeles
369,06037185100.0,6.07,53.3,11.5,65.5,Los Angeles
370,06037185202.0,3.627,48.4,15.0,60.1,Los Angeles
371,06037185203.0,3.566,51.7,8.6,43.8,Los Angeles
372,06037185204.0,1.921,49.2,23.9,44.8,Los Angeles
373,06037185310.0,3.131,47.3,12.5,49.2,Los Angeles
374,06037185320.0,2.991,51.0,10.7,45.0,Los Angeles
375,06037186100.0,4.985,48.7,15.5,49.2,Los Angeles
376,06037186201.0,3.201,41.5,16.1,36.2,Los Angeles
377,06037186202.0,2.007,49.8,12.1,45.4,Los Angeles
378,06037186203.0,3.416,52.1,13.6,55.7,Los Angeles
379,06037186301.0,2.906,49.8,9.1,50.6,Los Angeles
380,06037186302.0,5.096,50.3,14.7,50.6,Los Angeles
381,06037186401.0,3.489,48.0,9.5,35.8,Los Angeles
382,06037186403.0,2.698,48.3,18.5,37.2,Los Angeles
383,06037186404.0,2.631,51.6,9.5,37.6,Los Angeles
384,06037187101.0,3.438,47.7,22.5,60.2,Los Angeles
385,06037187102.0,3.739,44.2,13.5,40.8,Los Angeles
386,06037187200.0,2.963,49.6,11.7,54.4,Los Angeles
387,06037187300.0,3.597,50.2,11.0,70.4,Los Angeles
388,06037188100.0,3.918,53.5,10.4,47.2,Los Angeles
389,06037188201.0,3.473,50.0,8.3,69.1,Los Angeles
390,06037188202.0,2.426,49.8,20.9,68.7,Los Angeles
391,06037188300.0,3.8,50.9,15.8,40.9,Los Angeles
392,06037189101.0,2.521,45.4,12.7,73.9,Los Angeles
