,Health Measure,City,DF Model,CC Model,Hybrid Model
56,CASTHMA,New York,1.3422936429217263,1.1842200314850877,0.9545105478865126
57,CASTHMA,Philadelphia,2.0816462058148772,1.24530970217413,0.9532440129048332
58,CASTHMA,San Diego,1.067596875279477,0.7513050745230214,0.7229741586953925
59,CASTHMA,San Francisco,1.4806251416577156,0.7616756992888876,0.6893486723232373
60,CHD,Austin,0.943434861781076,1.0863191129131489,0.7467419306563687
61,CHD,Baltimore,1.4332288395259514,1.4962268676659545,1.185205997890982
62,CHD,Boston,1.0778755539418239,1.420218510268933,0.8937216280068095
63,CHD,Chicago,1.1769447072900052,1.3595342410586362,1.0104611897472104
64,CHD,Los Angeles,0.9993594730709845,1.04367035730331,0.8506243405114954
65,CHD,Memphis,2.20933216547227,1.7393878265186857,1.3990909484639251
66,CHD,New York,1.2706710630986708,1.2559104426314645,0.9685110803607333
67,CHD,Philadelphia,1.6115894246309657,1.7284111642584519,1.3362031480967032
68,CHD,San Diego,1.1009967919835242,1.2945771833809157,0.8652075057250967
69,CHD,San Francisco,1.4168444586775348,1.4432649656524688,0.920193414422317
70,CHECKUP,Austin,3.124168102506212,2.8034051995360127,1.779962014205291
71,CHECKUP,Baltimore,3.4230688927399022,2.9572420024879578,1.5665537538239844
72,CHECKUP,Boston,3.716115901540901,2.6356114448880534,1.658111607343645
73,CHECKUP,Chicago,3.1037192071021815,2.2382681517655003,1.445694585428488
74,CHECKUP,Los Angeles,6.429488811071705,2.464402087223486,1.699476499525444
75,CHECKUP,Memphis,3.7631356579232556,2.921864453872154,1.7017057270016285
76,CHECKUP,New York,4.315487567766743,2.6310708273598324,1.7685143377306027
77,CHECKUP,Philadelphia,3.482835058600421,3.0220951831831453,1.6480406119459077
78,CHECKUP,San Diego,4.102092093424347,3.1455535768939056,1.7332668927990047
79,CHECKUP,San Francisco,7.382094850486112,2.598091405258473,1.8098251817828799
80,CHOLSCREEN,Austin,3.924362467572352,4.863958160941798,3.5125394404850496
81,CHOLSCREEN,Baltimore,3.167399323486064,2.1229227466173706,1.9135478253569072
82,CHOLSCREEN,Boston,3.4677583680317614,3.6897375540724364,2.863360109620912
83,CHOLSCREEN,Chicago,3.657122998644053,2.616488581086772,2.3474220363717078
84,CHOLSCREEN,Los Angeles,2.8845164663204463,3.000128027497003,2.2822590846075967
85,CHOLSCREEN,Memphis,3.102145106085125,3.0068503787164205,2.6680969603559475
86,CHOLSCREEN,New York,2.900169278999284,2.6392745067963954,2.106491569244566
87,CHOLSCREEN,Philadelphia,3.5005698231131017,3.8562481523962946,2.5752673373122894
88,CHOLSCREEN,San Diego,3.406588976351168,3.832471567686648,2.733434897080303
89,CHOLSCREEN,San Francisco,2.4411940075010814,2.334260530817664,1.776665906930531
90,COPD,Austin,1.197290635985177,1.0061433272273885,0.8617797048039526
91,COPD,Baltimore,2.3516422402029757,1.9980316938999598,1.746575264702596
92,COPD,Boston,1.424647247661789,1.560385888408396,1.0765247761232832
93,COPD,Chicago,1.6077972694877374,1.5695957305152919,1.2938687033690048
94,COPD,Los Angeles,1.3372450428255016,1.128708877253279,1.0677561670533964
95,COPD,Memphis,3.7894959532474686,2.2157964481570143,2.071373719304637
96,COPD,New York,1.7779452795516468,1.4427676695982605,1.262253712929701
97,COPD,Philadelphia,2.33539280600931,1.8757991805227283,1.739505028982523
98,COPD,San Diego,1.3516947706743245,1.0591502490204059,0.9853427117308347
99,COPD,San Francisco,1.9630936444419882,1.2759656802956525,0.9212617246987708
100,CSMOKING,Austin,3.385283048103544,2.7905088301758805,2.4238920776317863
101,CSMOKING,Baltimore,6.665715373686533,4.985957654316398,4.004070298178427
102,CSMOKING,Boston,3.1100189915465304,3.9563011962734334,2.4317476507279436
103,CSMOKING,Chicago,4.038436748575218,3.5050556436132663,2.8994231878764194
104,CSMOKING,Los Angeles,3.434634651692869,2.5631679857712384,2.311417225158313
105,CSMOKING,Memphis,7.9930554543301335,4.942014543589424,4.052515758635217
106,CSMOKING,New York,3.9821386462595987,3.1001871909499448,2.6905833788512803
107,CSMOKING,Philadelphia,6.590597095733311,4.283542191762685,3.7190152333442823
108,CSMOKING,San Diego,3.550471428319496,2.3702345891375307,2.5521079974267717
109,CSMOKING,San Francisco,4.36205555352566,2.505056833181748,1.893091775870458
110,DENTAL,Austin,9.832265283152722,7.562046270181326,6.793616067532624
111,DENTAL,Baltimore,9.052632409515907,8.07170835206481,5.958456497026269
112,DENTAL,Boston,7.910825381041207,8.428755605235741,5.303729713460444
