,TractFIPS,AirQuality,Animals,Building,CodeEnforcement,Construction,Fire,Flooding,Garbage,Graffiti,HazardousMaterials,Homelessness,Household,IllegalDumping,Noise,Parks,Recycling,Rodents,Sewage,SnowRemoval,StormwaterDrainage,StreetConditions,Streetlights,TrafficSignals,Transportation,Trees,UnsanitaryConditions,Water,City,Year,TotalPopulation
13107,36047051200.0,3,10,559,0,1,21,2,9,6,5,14,620,6,362,0,0,79,3,2,0,16,4,13,3,8,268,117,New York,2022,5936.0
13108,36047051300.0,8,8,135,0,37,3,0,57,49,4,31,109,0,653,0,3,26,25,1,0,91,25,19,96,41,145,68,New York,2019,5397.0
13109,36047051300.0,8,7,162,0,17,47,0,37,16,4,151,61,0,976,4,3,24,33,3,0,63,10,11,58,36,127,72,New York,2020,5397.0
13110,36047051300.0,25,11,173,0,6,2,0,85,11,29,267,99,5,1279,3,1,34,9,3,0,72,15,40,36,46,152,93,New York,2021,5397.0
13111,36047051300.0,19,21,277,0,1,5,2,168,28,5,201,166,47,729,1,0,56,12,8,0,79,26,26,45,31,242,149,New York,2022,5397.0
13112,36047051400.0,9,5,371,0,3,2,1,22,3,2,6,582,0,400,0,2,40,7,0,0,48,2,5,5,41,165,114,New York,2019,7834.0
13113,36047051400.0,7,8,272,0,3,248,0,21,5,1,23,507,0,822,1,1,17,19,0,0,21,1,3,2,47,137,87,New York,2020,7834.0
13114,36047051400.0,7,9,555,0,0,45,0,36,4,6,9,790,1,475,0,1,68,19,4,0,23,4,17,5,49,274,138,New York,2021,7834.0
13115,36047051400.0,6,6,486,0,0,5,1,29,2,4,12,832,4,354,0,0,143,8,3,0,27,13,25,7,39,217,112,New York,2022,7834.0
13116,36047051500.0,10,3,52,0,17,0,0,14,15,1,8,11,0,233,7,0,16,2,2,0,26,17,0,5,20,30,33,New York,2019,2443.0
13117,36047051500.0,6,3,50,0,10,16,0,13,3,1,24,13,0,264,42,0,6,6,0,0,18,9,0,5,20,14,17,New York,2020,2443.0
13118,36047051500.0,1,15,180,0,0,20,2,23,2,0,44,9,3,263,52,0,6,4,0,0,11,9,3,8,34,24,12,New York,2021,2443.0
13119,36047051500.0,1,7,238,0,0,3,0,39,0,0,48,12,15,244,73,0,14,2,1,0,18,35,3,6,17,13,5,New York,2022,2443.0
13120,36047051601.0,4,3,297,0,1,5,1,8,18,4,5,358,0,665,0,0,27,5,2,0,25,4,10,2,15,195,86,New York,2019,5252.0
13121,36047051601.0,1,3,266,0,2,84,0,15,5,0,2,435,0,992,0,0,14,12,0,0,33,7,6,5,27,198,80,New York,2020,5252.0
13122,36047051601.0,14,7,315,0,1,80,1,20,5,0,5,380,2,784,0,0,26,10,2,0,41,6,10,2,15,217,105,New York,2021,5252.0
